"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","DTHD1:ZC3H12A","chr4",36296661,"chr1",37945891,Inf,"453",2285,TRUE,TRUE,TRUE,"Locus_3028_Transcript_9/17_Confidence_0.471_Length_3567",1456,"HighConfidence","-"
"jaffa-direct","ZNF396:OR13A1","chr18",32953420,"chr10",45799948,Inf,"497",2236,FALSE,TRUE,TRUE,"Locus_325_Transcript_27/43_Confidence_0.105_Length_2151",978,"HighConfidence","-"
"jaffa-direct","WASF3:PSENEN","chr13",27254338,"chr19",36237320,Inf,"546",2110,FALSE,TRUE,TRUE,"Locus_3472_Transcript_10/15_Confidence_0.105_Length_966",592,"HighConfidence","-"
"jaffa-direct","KIF24:PLD6","chr9",34286615,"chr17",17106412,Inf,"502",2130,FALSE,TRUE,TRUE,"Locus_2_Transcript_869/960_Confidence_0.009_Length_4045",1908,"HighConfidence","-"
"jaffa-direct","ACTN3:PBX3","chr11",66327547,"chr9",128724381,Inf,"481",2146,FALSE,TRUE,TRUE,"Locus_3066_Transcript_4/29_Confidence_0.111_Length_3214",1843,"HighConfidence","-"
"jaffa-direct","ACAP1:CRYBB3","chr17",7245386,"chr22",25598641,Inf,"602",1956,TRUE,TRUE,TRUE,"Locus_4096_Transcript_3/10_Confidence_0.577_Length_762",318,"HighConfidence","-"
"jaffa-direct","COLEC10:RHAG","chr8",120103459,"chr6",49583484,Inf,"509",1924,FALSE,TRUE,TRUE,"Locus_3042_Transcript_4/8_Confidence_0.237_Length_1439",329,"HighConfidence","-"
"jaffa-direct","B4GALNT4:CCNH","chr11",380951,"chr5",86707163,Inf,"465",1885,FALSE,TRUE,TRUE,"Locus_4195_Transcript_1/10_Confidence_0.381_Length_1900",428,"HighConfidence","-"
"jaffa-direct","RAVER2:PPP1R1A","chr1",65278532,"chr12",54976579,Inf,"452",1868,FALSE,TRUE,TRUE,"Locus_2932_Transcript_7/8_Confidence_0.179_Length_2272",449,"HighConfidence","-"
"jaffa-direct","LARP4:TOP2B","chr12",50821692,"chr3",25650835,Inf,"195",2111,TRUE,TRUE,TRUE,"Locus_3024_Transcript_17/31_Confidence_0.142_Length_1499",1183,"HighConfidence","-"
"jaffa-direct","ATP6V0E2:PAM","chr7",149572734,"chr5",102364591,Inf,"413",1886,FALSE,TRUE,TRUE,"Locus_3115_Transcript_9/22_Confidence_0.151_Length_1773",1121,"HighConfidence","-"
"jaffa-direct","USP48:APRT","chr1",22033237,"chr16",88876556,Inf,"405",1786,TRUE,TRUE,TRUE,"Locus_3040_Transcript_16/23_Confidence_0.458_Length_3299",2729,"HighConfidence","-"
"jaffa-direct","MSRB2:PIGA","chr10",23408380,"chrX",15342993,Inf,"364",1653,TRUE,TRUE,TRUE,"Locus_2963_Transcript_5/10_Confidence_0.216_Length_3107",2482,"HighConfidence","-"
"jaffa-direct","SGOL2:SERPINA4","chr2",201400865,"chr14",95035732,Inf,"424",1581,TRUE,TRUE,TRUE,"Locus_2890_Transcript_4/7_Confidence_0.124_Length_967",490,"HighConfidence","-"
"jaffa-direct","KRT40:CCNK","chr17",39139298,"chr14",99958963,Inf,"392",1590,FALSE,TRUE,TRUE,"Locus_3215_Transcript_5/21_Confidence_0.112_Length_1220",744,"HighConfidence","-"
"jaffa-direct","TBC1D2:SIGLEC7","chr9",100963761,"chr19",51650478,Inf,"368",1601,FALSE,TRUE,TRUE,"Locus_2844_Transcript_12/13_Confidence_0.388_Length_2071",1803,"HighConfidence","-"
"jaffa-direct","AP1B1:ERI3","chr22",29755813,"chr1",44818597,Inf,"409",1557,TRUE,TRUE,TRUE,"Locus_3406_Transcript_3/26_Confidence_0.033_Length_965",513,"HighConfidence","-"
"jaffa-direct","FADS2:CHP1","chr11",61608003,"chr15",41554954,Inf,"358",1601,FALSE,TRUE,TRUE,"Locus_248_Transcript_7/23_Confidence_0.104_Length_2181",1680,"HighConfidence","-"
"jaffa-direct","BARX2:LCE1D","chr11",129312814,"chr1",152770249,Inf,"418",1518,TRUE,TRUE,TRUE,"Locus_3241_Transcript_2/10_Confidence_0.349_Length_1259",409,"HighConfidence","-"
"jaffa-direct","MYF5:BTG3","chr12",81111343,"chr21",18977315,Inf,"354",1561,FALSE,TRUE,TRUE,"Locus_860_Transcript_10/14_Confidence_0.335_Length_1536",734,"HighConfidence","-"
"jaffa-direct","ST6GAL2:KIAA0355","chr2",107446522,"chr19",34838782,Inf,"342",1572,TRUE,TRUE,TRUE,"Locus_398_Transcript_5/13_Confidence_0.197_Length_3941",2432,"HighConfidence","-"
"jaffa-direct","TTYH2:OR11A1","chr17",72233653,"chr6",29395509,Inf,"373",1522,FALSE,TRUE,TRUE,"Locus_1680_Transcript_21/24_Confidence_0.107_Length_2558",650,"HighConfidence","-"
"jaffa-direct","UBXN2B:ZKSCAN2","chr8",59343228,"chr16",25264358,Inf,"346",1521,FALSE,TRUE,TRUE,"Locus_2882_Transcript_4/41_Confidence_0.061_Length_6656",6196,"HighConfidence","-"
"jaffa-direct","RAPSN:BRF2","chr11",47460283,"chr8",37704859,Inf,"352",1510,FALSE,TRUE,TRUE,"Locus_3124_Transcript_7/10_Confidence_0.586_Length_3398",1089,"HighConfidence","-"
"jaffa-direct","CCDC27:CHST11","chr1",3672131,"chr12",105150727,Inf,"333",1513,FALSE,TRUE,TRUE,"Locus_2814_Transcript_34/86_Confidence_0.036_Length_6072",5554,"HighConfidence","-"
"jaffa-direct","KCNG4:NLRP7","chr16",84270336,"chr19",55435240,Inf,"340",1420,FALSE,TRUE,TRUE,"Locus_3072_Transcript_3/17_Confidence_0.022_Length_1179",820,"HighConfidence","-"
"jaffa-direct","MRPL55:RFC3","chr1",228295678,"chr13",34409285,Inf,"303",1383,TRUE,TRUE,TRUE,"Locus_3151_Transcript_16/19_Confidence_0.376_Length_2288",415,"HighConfidence","-"
"jaffa-direct","HOXA2:RHOF","chr7",27141729,"chr12",122217568,Inf,"324",1357,FALSE,TRUE,TRUE,"Locus_441_Transcript_3/24_Confidence_0.433_Length_2235",1539,"HighConfidence","-"
"jaffa-direct","SEC16A:TAF10","chr9",139341679,"chr11",6632534,Inf,"286",1358,FALSE,TRUE,TRUE,"Locus_2824_Transcript_8/25_Confidence_0.307_Length_8791",2016,"HighConfidence","-"
"jaffa-direct","KRT1:CLDN2","chr12",53071434,"chrX",106171281,Inf,"308",1296,TRUE,TRUE,TRUE,"Locus_2904_Transcript_13/36_Confidence_0.101_Length_3444",682,"HighConfidence","-"
"jaffa-direct","ADM5:ARL6IP1","chr19",50193168,"chr16",18804692,Inf,"289",1183,FALSE,TRUE,TRUE,"Locus_1309_Transcript_21/22_Confidence_0.070_Length_3174",1563,"HighConfidence","-"
"jaffa-direct","LRFN5:SNX6","chr14",42357213,"chr14",35099156,7258.054,"276",1151,FALSE,TRUE,TRUE,"Locus_3669_Transcript_5/11_Confidence_0.565_Length_5359",1726,"HighConfidence","-"
"jaffa-direct","CABLES1:SPINK13","chr18",20833030,"chr5",147661667,Inf,"300",1127,FALSE,TRUE,TRUE,"Locus_3580_Transcript_3/18_Confidence_0.110_Length_1619",383,"HighConfidence","-"
"jaffa-direct","EAF2:GHSR","chr3",121573670,"chr3",172163255,50589.587,"287",1090,FALSE,TRUE,TRUE,"Locus_5997_Transcript_5/7_Confidence_0.375_Length_789",548,"HighConfidence","-"
"jaffa-direct","RBP5:IL6","chr12",7281299,"chr7",22771025,Inf,"218",1097,FALSE,TRUE,TRUE,"Locus_5731_Transcript_2/4_Confidence_0.182_Length_728",226,"HighConfidence","-"
"jaffa-direct","PCNX:IFFO2","chr14",71556059,"chr1",19235160,Inf,"218",1041,FALSE,TRUE,TRUE,"Locus_3055_Transcript_21/27_Confidence_0.508_Length_12851",8377,"HighConfidence","-"
"jaffa-direct","LOXHD1:MSH6","chr18",44104671,"chr2",48018066,Inf,"238",1014,FALSE,TRUE,TRUE,"Locus_3325_Transcript_5/14_Confidence_0.541_Length_11319",9378,"HighConfidence","-"
"jaffa-direct","MRPS17:COL9A2","chr7",56021011,"chr1",40769348,Inf,"235",988,TRUE,TRUE,TRUE,"Locus_4605_Transcript_22/23_Confidence_0.066_Length_2546",2225,"HighConfidence","-"
"jaffa-direct","TICRR:IGFL2","chr15",90163073,"chr19",46663672,Inf,"195",995,TRUE,TRUE,TRUE,"Locus_3057_Transcript_3/4_Confidence_0.345_Length_4694",517,"HighConfidence","-"
"jaffa-direct","ALPP:SGCG","chr2",233245030,"chr13",23808750,Inf,"1030",117,TRUE,TRUE,TRUE,"ALPP|ENSG00000163283.6--SGCG|ENSG00000102683.6:10798985_1_12206_1042_314/1/1",39,"HighConfidence","-"
"jaffa-direct","ARHGEF28:B3GNT4","chr5",73181929,"chr12",122690865,Inf,"181",936,FALSE,TRUE,TRUE,"Locus_2883_Transcript_10/16_Confidence_0.291_Length_7238",3732,"HighConfidence","-"
"jaffa-direct","SLC6A15:KLHL42","chr12",85279690,"chr12",27944641,57335.046,"190",926,FALSE,TRUE,TRUE,"Locus_3204_Transcript_9/14_Confidence_0.277_Length_2196",1374,"HighConfidence","-"
"jaffa-direct","MKRN3:BTBD8","chr15",23812131,"chr1",92604907,Inf,"240",872,TRUE,TRUE,TRUE,"Locus_3086_Transcript_6/7_Confidence_0.500_Length_800",311,"HighConfidence","-"
"jaffa-direct","MAP7D1:CACYBP","chr1",36644424,"chr1",174979059,138334.636,"144",956,FALSE,TRUE,FALSE,"Locus_3374_Transcript_13/31_Confidence_0.455_Length_4369",2570,"HighConfidence","-"
"jaffa-direct","GPR64:FCRL3","chrX",19014169,"chr1",157670375,Inf,"212",882,FALSE,TRUE,TRUE,"Locus_3441_Transcript_4/6_Confidence_0.139_Length_4329",2736,"HighConfidence","-"
