"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","PSMC5:RPL37A","chr17",61908785,"chr2",217363993,Inf,"0",17,TRUE,TRUE,TRUE,"Locus_1058_Transcript_3/40_Confidence_0.266_Length_1444",649,"MediumConfidence","-"
"jaffa-direct","IARS:KIAA0368","chr9",95050073,"chr9",114138821,19088.744,"0",16,TRUE,TRUE,TRUE,"Locus_2884_Transcript_2/17_Confidence_0.051_Length_1729",518,"MediumConfidence","-"
"jaffa-direct","TFPT:QARS","chr19",54613434,"chr3",49133512,Inf,"-",5,FALSE,TRUE,TRUE,"Locus_989_Transcript_8/39_Confidence_0.047_Length_227",73,"MediumConfidence","-"
"jaffa-direct","HSPA12A:POR","chr10",118501941,"chr7",75583307,Inf,"-",4,FALSE,TRUE,TRUE,"Locus_2940_Transcript_6/9_Confidence_0.649_Length_2544",176,"MediumConfidence","-"
"jaffa-direct","POLR2F:ABHD3","chr22",38382319,"chr18",19239304,Inf,"-",4,TRUE,TRUE,TRUE,"Locus_10100_Transcript_4/5_Confidence_0.077_Length_1282",139,"MediumConfidence","-"
"jaffa-direct","TRIT1:RHPN2","chr1",40348990,"chr19",33535270,Inf,"-",3,TRUE,TRUE,TRUE,"Locus_5320_Transcript_7/11_Confidence_0.338_Length_2922",2761,"MediumConfidence","-"
"jaffa-direct","STX18-AS1:WASF1","chr4",4546634,"chr6",110448832,Inf,"0",3,FALSE,TRUE,TRUE,"Locus_11816_Transcript_3/4_Confidence_0.355_Length_2430",2148,"MediumConfidence","-"
"jaffa-direct","SH3TC1:HN1L","chr4",8201132,"chr16",1735440,Inf,"-",2,FALSE,TRUE,TRUE,"Locus_3410_Transcript_11/18_Confidence_0.343_Length_3503",54,"MediumConfidence","-"
"jaffa-direct","AC002480.3:CTD-2583A14.9","chr7",22604771,"chr19",58400376,Inf,"-",2,FALSE,TRUE,TRUE,"Locus_9530_Transcript_32/35_Confidence_0.284_Length_1850",120,"MediumConfidence","-"
"jaffa-direct","ATPAF1:PYGL","chr1",47130928,"chr14",51383823,Inf,"0",1,TRUE,TRUE,TRUE,"Locus_4101_Transcript_18/19_Confidence_0.003_Length_628",328,"MediumConfidence","-"
"jaffa-direct","PPP1R12C:LAMA5","chr19",55610152,"chr20",60937608,Inf,"-",1,TRUE,TRUE,TRUE,"Locus_6692_Transcript_10/13_Confidence_0.277_Length_3353",3217,"MediumConfidence","-"
"jaffa-direct","GABRB3:CCND1","chr15",26790312,"chr11",69467579,Inf,"37",4,NA,FALSE,TRUE,"Locus_725_Transcript_18/63_Confidence_0.225_Length_3329",2667,"LowConfidence","-"
"jaffa-direct","GABRB3:IGF2R","chr15",26790313,"chr6",160526931,Inf,"23",9,NA,FALSE,TRUE,"Locus_517_Transcript_89/116_Confidence_0.066_Length_4056",1072,"LowConfidence","-"
"jaffa-direct","TIMM23B:LINC00843","chr10",51387761,"chr10",51732773,345.012,"4",7,NA,FALSE,FALSE,"Locus_4990_Transcript_14/24_Confidence_0.439_Length_1172",908,"LowConfidence","-"
"jaffa-direct","FDPS:NIP7","chr1",155288083,"chr16",69373656,Inf,"1",7,NA,FALSE,TRUE,"Locus_3_Transcript_8982/10125_Confidence_0.001_Length_3158",1535,"LowConfidence","-"
"jaffa-direct","GABRB3:PIGS","chr15",26790312,"chr17",26880701,Inf,"6",2,NA,FALSE,TRUE,"Locus_8879_Transcript_2/10_Confidence_0.644_Length_1984",372,"LowConfidence","-"
"jaffa-direct","GABRB3:CHST11","chr15",26790312,"chr12",105155286,Inf,"5",2,NA,FALSE,TRUE,"Locus_7788_Transcript_16/19_Confidence_0.365_Length_2630",2115,"LowConfidence","-"
