"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","DPP8:PTPLAD1","chr15",65799581,"chr15",65844014,44.43,17,8,TRUE,TRUE,TRUE,"C29TWACXX130819:7:2214:8360:77467/2",33,"HighConfidence","-"
"jaffa-direct","MRRF:IKBKAP","chr9",125027217,"chr9",111674774,13352.441,12,1,FALSE,TRUE,TRUE,"D2B83ACXX130818:6:2307:11219:76525/1",39,"HighConfidence","-"
"jaffa-direct","MRRF:IKBKAP","chr9",125033354,"chr9",111674774,13358.58,12,1,TRUE,TRUE,TRUE,"D2FGHACXX130903:6:2203:12866:22567/1",50,"HighConfidence","-"
"jaffa-direct","IKBKAP:MRRF","chr9",111685122,"chr9",125075506,13390.383,12,1,FALSE,TRUE,TRUE,"D2B75ACXX130819:2:2314:8961:32509/1",52,"HighConfidence","-"
"jaffa-direct","GLI3:MRPL48","chr7",42063067,"chr11",73516072,Inf,5,2,TRUE,TRUE,TRUE,"D2B83ACXX130818:7:2108:3453:77430/1",37,"HighConfidence","-"
"jaffa-direct","NRIP1:AF127936.7","chr21",16437066,"chr21",16230029,207.039,3,2,FALSE,TRUE,FALSE,"C29TWACXX130819:3:1315:17813:25132/2",64,"HighConfidence","-"
"jaffa-direct","ANXA8L2:LINC00842","chr10",47747132,"chr10",47099714,647.417,4,1,FALSE,TRUE,TRUE,"C29TWACXX130819:8:2216:13959:23426/1",41,"HighConfidence","-"
"jaffa-direct","INTS9:TMEM66","chr8",28747391,"chr8",29927575,1180.179,0,2,TRUE,TRUE,TRUE,"C29TWACXX130819:4:2203:6507:71527/2",32,"MediumConfidence","-"
"jaffa-direct","RP11-114B7.6:SEPT2","chr1",33190679,"chr2",242276797,Inf,0,2,FALSE,TRUE,TRUE,"D2BCKACXX130819:8:2107:20411:64412/1",57,"MediumConfidence","-"
"jaffa-direct","NPRL3:EXOC4","chr16",188149,"chr7",133314798,Inf,0,2,TRUE,TRUE,TRUE,"D2BCKACXX130819:8:1110:15592:95084/1",52,"MediumConfidence","-"
"jaffa-direct","C17orf76-AS1:EIF4G2","chr17",16342728,"chr11",10828928,Inf,0,2,FALSE,TRUE,TRUE,"D2FGHACXX130903:7:1216:5604:81861/1",55,"MediumConfidence","-"
"jaffa-direct","NPEPPS:RANGAP1","chr17",45696530,"chr22",41677086,Inf,0,2,TRUE,TRUE,TRUE,"D2BCKACXX130819:1:1302:5388:34653/1",60,"MediumConfidence","-"
"jaffa-direct","CTD-3131K8.2:ZFAND6","chr19",17622152,"chr15",80390758,Inf,0,2,FALSE,TRUE,TRUE,"D2FGHACXX130903:8:2211:10908:51796/1",51,"MediumConfidence","-"
"jaffa-direct","PACSIN2:CDK11A","chr22",43272143,"chr1",1647917,Inf,0,2,TRUE,TRUE,TRUE,"D2B75ACXX130819:4:1112:15086:40165/1",65,"MediumConfidence","-"
"jaffa-direct","ARSJ:PIK3C2A","chr4",114899593,"chr11",17144360,Inf,0,2,TRUE,TRUE,TRUE,"C29TWACXX130819:3:2315:14433:76026/1",57,"MediumConfidence","-"
"jaffa-direct","ZNF544:ZNF274","chr19",58758160,"chr19",58721327,36.83,0,1,TRUE,TRUE,TRUE,"C29TWACXX130819:7:2312:12267:64488/2",38,"MediumConfidence","-"
"jaffa-direct","TANGO6:CDH1","chr16",68877614,"chr16",68835573,42.037,0,1,TRUE,TRUE,TRUE,"D2B75ACXX130819:5:1312:12735:41182/1",40,"MediumConfidence","-"
"jaffa-direct","NDUFA4:PHF14","chr7",10979643,"chr7",11021999,42.355,0,1,FALSE,TRUE,TRUE,"D2FGHACXX130903:8:2112:18656:87296/2",50,"MediumConfidence","-"
"jaffa-direct","RNF126:BSG","chr19",663047,"chr19",579500,83.549,0,1,FALSE,TRUE,TRUE,"D2FGHACXX130903:7:2114:14327:78695/2",53,"MediumConfidence","-"
"jaffa-direct","UBE2K:SMIM14","chr4",39700010,"chr4",39606800,93.209,0,1,TRUE,TRUE,TRUE,"D2FGHACXX130903:3:1108:18387:12363/1",32,"MediumConfidence","-"
"jaffa-direct","POLR3H:XRCC6","chr22",41936703,"chr22",42049533,112.83,0,1,TRUE,TRUE,TRUE,"C29TWACXX130819:7:1208:16975:11530/2",51,"MediumConfidence","-"
"jaffa-direct","SGMS2:PAPSS1","chr4",108745949,"chr4",108622441,123.505,0,1,FALSE,TRUE,TRUE,"D2B83ACXX130818:5:2109:3312:51192/1",47,"MediumConfidence","-"
"jaffa-direct","PRR11:TRIM37","chr17",57247241,"chr17",57079075,168.164,0,1,FALSE,TRUE,TRUE,"D2FGHACXX130903:2:2311:4431:41790/2",45,"MediumConfidence","-"
"jaffa-direct","ANKFY1:ZZEF1","chr17",4139067,"chr17",3937586,201.483,0,1,FALSE,TRUE,FALSE,"D2BCKACXX130819:1:1212:14454:55485/1",34,"MediumConfidence","-"
"jaffa-direct","MYL12A:TGIF1","chr18",3247907,"chr18",3456352,208.448,0,1,FALSE,TRUE,FALSE,"C29TWACXX130819:4:2112:5006:35981/1",50,"MediumConfidence","-"
"jaffa-direct","DNAJB11:EIF4A2","chr3",186295589,"chr3",186506914,211.326,0,1,FALSE,TRUE,FALSE,"D2FGHACXX130903:2:1215:7345:22105/2",50,"MediumConfidence","-"
