"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","ACAP1:CRYBB3","chr17",7245386,"chr22",25598641,Inf,"622",2255,TRUE,TRUE,TRUE,"Locus_1591_Transcript_71/109_Confidence_0.063_Length_839",522,"HighConfidence","-"
"jaffa-direct","ZNF396:OR13A1","chr18",32953420,"chr10",45799948,Inf,"501",2209,FALSE,TRUE,TRUE,"Locus_4_Transcript_50522/69008_Confidence_0.000_Length_2151",978,"HighConfidence","-"
"jaffa-direct","WASF3:PSENEN","chr13",27254338,"chr19",36237320,Inf,"542",2165,FALSE,TRUE,TRUE,"Locus_2490_Transcript_28/69_Confidence_0.079_Length_966",374,"HighConfidence","-"
"jaffa-direct","DTHD1:ZC3H12A","chr4",36296661,"chr1",37945891,Inf,"445",2206,TRUE,TRUE,TRUE,"Locus_4_Transcript_22503/69008_Confidence_0.000_Length_2351",1945,"HighConfidence","-"
"jaffa-direct","KIF24:PLD6","chr9",34286615,"chr17",17106412,Inf,"502",2131,FALSE,TRUE,TRUE,"Locus_4_Transcript_4647/69008_Confidence_0.000_Length_2983",1222,"HighConfidence","-"
"jaffa-direct","EFCAB3:CHTF18","chr17",60471005,"chr16",838931,Inf,"553",2033,TRUE,TRUE,TRUE,"Locus_364_Transcript_36/46_Confidence_0.497_Length_4183",3598,"HighConfidence","-"
"jaffa-direct","RAVER2:PPP1R1A","chr1",65278532,"chr12",54976579,Inf,"452",1871,FALSE,TRUE,TRUE,"Locus_4_Transcript_64456/69008_Confidence_0.000_Length_2279",450,"HighConfidence","-"
"jaffa-direct","CWC27:RP1L1","chr5",64077860,"chr8",10470856,Inf,"359",1898,FALSE,TRUE,TRUE,"Locus_4_Transcript_31345/69008_Confidence_0.000_Length_3825",3357,"HighConfidence","-"
"jaffa-direct","ATP6V0E2:PAM","chr7",149572734,"chr5",102364591,Inf,"411",1814,FALSE,TRUE,TRUE,"Locus_4_Transcript_59511/69008_Confidence_0.000_Length_2064",825,"HighConfidence","-"
"jaffa-direct","MSRB2:PIGA","chr10",23408380,"chrX",15342993,Inf,"366",1653,TRUE,TRUE,TRUE,"Locus_4_Transcript_63243/69008_Confidence_0.000_Length_3104",2479,"HighConfidence","-"
"jaffa-direct","BARX2:LCE1D","chr11",129312814,"chr1",152770249,Inf,"426",1585,TRUE,TRUE,TRUE,"Locus_4_Transcript_28561/69008_Confidence_0.000_Length_1327",923,"HighConfidence","-"
"jaffa-direct","ST6GAL2:KIAA0355","chr2",107446522,"chr19",34838782,Inf,"342",1568,TRUE,TRUE,TRUE,"Locus_4_Transcript_51239/69008_Confidence_0.000_Length_3777",2268,"HighConfidence","-"
