"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","DPP8:PTPLAD1","chr15",65799581,"chr15",65844014,44.428,"9",11,TRUE,TRUE,TRUE,"Locus_2793_Transcript_21/22_Confidence_0.058_Length_2533",726,"HighConfidence","-"
"jaffa-direct","AKR1C3:AKR1CL1","chr10",5077808,"chr10",5204983,127.173,"3",2,FALSE,TRUE,TRUE,"Locus_717_Transcript_30/85_Confidence_0.006_Length_732",439,"HighConfidence","-"
"jaffa-direct","GLI3:MRPL48","chr7",42063067,"chr11",73516072,Inf,"1",4,TRUE,TRUE,TRUE,"Locus_433_Transcript_14/19_Confidence_0.204_Length_2565",1612,"HighConfidence","-"
"jaffa-direct","CNIH1:FAM169A","chr14",54903087,"chr5",74137504,Inf,"0",9,TRUE,TRUE,TRUE,"Locus_2993_Transcript_22/23_Confidence_0.092_Length_4782",365,"MediumConfidence","-"
"jaffa-direct","RP11-114B7.6:SEPT2","chr1",33190679,"chr2",242276797,Inf,"-",6,FALSE,TRUE,TRUE,"Locus_894_Transcript_29/58_Confidence_0.010_Length_306",211,"MediumConfidence","-"
"jaffa-direct","EXPH5:SLC11A2","chr11",108464145,"chr12",51404549,Inf,"0",3,FALSE,TRUE,TRUE,"Locus_838_Transcript_46/53_Confidence_0.058_Length_4274",211,"MediumConfidence","-"
"jaffa-direct","NRIP1:AF127936.7","chr21",16437066,"chr21",16230029,207.039,"-",2,FALSE,TRUE,FALSE,"Locus_5964_Transcript_10/12_Confidence_0.075_Length_1083",105,"MediumConfidence","-"
"jaffa-direct","RP11-532F12.5:ZNF513","chr15",41136377,"chr2",27603115,Inf,"0",2,FALSE,TRUE,TRUE,"Locus_6181_Transcript_6/9_Confidence_0.175_Length_2460",234,"MediumConfidence","-"
"jaffa-direct","COX7A2:C16orf62","chr6",75953433,"chr16",19576173,Inf,"-",2,FALSE,TRUE,TRUE,"Locus_4417_Transcript_5/11_Confidence_0.183_Length_3263",113,"MediumConfidence","-"
"jaffa-direct","CCDC130:SMARCA4","chr19",13843099,"chr19",11168934,2674.162,"-",1,FALSE,TRUE,TRUE,"Locus_13445_Transcript_2/3_Confidence_0.833_Length_376",53,"MediumConfidence","-"
"jaffa-direct","NDUFS4:RICTOR","chr5",52856590,"chr5",39021238,13835.351,"-",1,FALSE,TRUE,TRUE,"Locus_158_Transcript_17/24_Confidence_0.435_Length_7318",7207,"MediumConfidence","-"
"jaffa-direct","KRT6A:KRT8","chr12",52884898,"chr12",53295662,410.764,"86",45,NA,FALSE,TRUE,"Locus_587_Transcript_107/135_Confidence_0.072_Length_2394",971,"LowConfidence","-"
"jaffa-direct","RN7SL657P:RN7SL2","chr1",1340954,"chr14",50329484,Inf,"16",52,NA,FALSE,TRUE,"Locus_242_Transcript_17/43_Confidence_0.036_Length_527",313,"LowConfidence","-"
"jaffa-direct","AGRN:C17orf85","chr1",978813,"chr17",3749511,Inf,"1",34,NA,FALSE,TRUE,"Locus_990_Transcript_47/54_Confidence_0.080_Length_5713",1613,"LowConfidence","-"
"jaffa-direct","RABGAP1:NDUFS2","chr9",125866234,"chr1",161184022,Inf,"16",3,NA,FALSE,TRUE,"Locus_328_Transcript_73/92_Confidence_0.031_Length_1229",306,"LowConfidence","-"
"jaffa-direct","TIMM23B:LINC00843","chr10",51387761,"chr10",51732773,345.012,"7",11,NA,FALSE,FALSE,"Locus_6011_Transcript_10/37_Confidence_0.201_Length_1037",392,"LowConfidence","-"
