"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","ENTPD6:VGF","chr20",25194042,"chr7",100808144,Inf,"599",2874,TRUE,TRUE,TRUE,"Locus_605_Transcript_17/31_Confidence_0.516_Length_3166",783,"HighConfidence","-"
"jaffa-direct","TRNP1:GBA2","chr1",27321103,"chr9",35738149,Inf,"568",2750,FALSE,TRUE,TRUE,"Locus_534_Transcript_11/31_Confidence_0.228_Length_4749",942,"HighConfidence","-"
"jaffa-direct","GKN1:KCNG1","chr2",69207192,"chr20",49626901,Inf,"534",2673,FALSE,TRUE,TRUE,"Locus_852_Transcript_14/19_Confidence_0.450_Length_2384",1693,"HighConfidence","-"
"jaffa-direct","POLDIP3:TNFSF14","chr22",42995704,"chr19",6670169,Inf,"566",2606,TRUE,TRUE,TRUE,"Locus_150_Transcript_16/16_Confidence_0.192_Length_2213",1455,"HighConfidence","-"
"jaffa-direct","MRPS21:SOS2","chr1",150266869,"chr14",50667802,Inf,"488",2538,FALSE,TRUE,TRUE,"Locus_1927_Transcript_3/22_Confidence_0.179_Length_2417",634,"HighConfidence","-"
"jaffa-direct","SLC7A10:ZFP36L1","chr19",33701373,"chr14",69257209,Inf,"498",2485,TRUE,TRUE,TRUE,"Locus_405_Transcript_12/25_Confidence_0.409_Length_4334",3119,"HighConfidence","-"
"jaffa-direct","ZCRB1:IGFBP7","chr12",42711142,"chr4",57899477,Inf,"517",2335,TRUE,TRUE,TRUE,"Locus_74_Transcript_16/27_Confidence_0.103_Length_957",510,"HighConfidence","-"
"jaffa-direct","ZNF317:ATP11A","chr19",9268751,"chr13",113512459,Inf,"448",2386,TRUE,TRUE,TRUE,"Locus_720_Transcript_28/33_Confidence_0.228_Length_4595",738,"HighConfidence","-"
"jaffa-direct","C10orf113:THBS3","chr10",21435271,"chr1",155176197,Inf,"341",2372,FALSE,TRUE,TRUE,"Locus_797_Transcript_19/23_Confidence_0.583_Length_3285",3062,"HighConfidence","-"
"jaffa-direct","ALOX15B:MOGAT2","chr17",7950394,"chr11",75431037,Inf,"473",2240,FALSE,TRUE,TRUE,"Locus_989_Transcript_1/12_Confidence_0.450_Length_3005",1468,"HighConfidence","-"
"jaffa-direct","RORB:SLC44A3","chr9",77286817,"chr1",95303267,Inf,"1320",1350,FALSE,TRUE,TRUE,"Locus_1516_Transcript_16/18_Confidence_0.467_Length_3512",1502,"HighConfidence","-"
"jaffa-direct","HEATR2:SRF","chr7",781102,"chr6",43144286,Inf,"552",2073,TRUE,TRUE,TRUE,"Locus_858_Transcript_14/14_Confidence_0.216_Length_5564",2726,"HighConfidence","-"
"jaffa-direct","CORT:NUFIP2","chr1",10510379,"chr17",27594548,Inf,"448",1938,FALSE,TRUE,TRUE,"Locus_1758_Transcript_5/35_Confidence_0.032_Length_1123",842,"HighConfidence","-"
"jaffa-direct","WEE2:SPATA31E1","chr7",141423080,"chr9",90499828,Inf,"367",1952,FALSE,TRUE,TRUE,"Locus_812_Transcript_18/26_Confidence_0.600_Length_4301",3972,"HighConfidence","-"
"jaffa-direct","FBL:AL391421.1","chr19",40327196,"chr10",79627681,Inf,"379",1913,FALSE,TRUE,TRUE,"Locus_608_Transcript_7/22_Confidence_0.448_Length_2732",1859,"HighConfidence","-"
"jaffa-direct","HOXB5:CELA1","chr17",46670483,"chr12",51739661,Inf,"355",1824,TRUE,TRUE,TRUE,"Locus_454_Transcript_28/32_Confidence_0.121_Length_1459",833,"HighConfidence","-"
"jaffa-direct","ABCC2:NMUR2","chr10",101610553,"chr5",151775145,Inf,"361",1814,FALSE,TRUE,TRUE,"Locus_455_Transcript_13/14_Confidence_0.306_Length_5705",1079,"HighConfidence","-"
