"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","CASP3:SMAP2","chr4",185553422,"chr1",40874325,Inf,"964",2417,FALSE,TRUE,TRUE,"Locus_130_Transcript_71/123_Confidence_0.051_Length_1981",493,"HighConfidence","-"
"jaffa-direct","ADH7:ZNF623","chr4",100349649,"chr8",144732068,Inf,"936",2311,FALSE,TRUE,TRUE,"Locus_8_Transcript_39379/52526_Confidence_0.000_Length_3787",3289,"HighConfidence","-"
"jaffa-direct","ZCCHC9:SERPINB10","chr5",80604857,"chr18",61584690,Inf,"918",2320,FALSE,TRUE,TRUE,"Locus_48_Transcript_27/39_Confidence_0.391_Length_3397",2457,"HighConfidence","-"
"jaffa-direct","THOC1:CCDC120","chr18",218886,"chrX",48921901,Inf,"889",2330,FALSE,TRUE,TRUE,"Locus_8_Transcript_9132/52526_Confidence_0.000_Length_3632",2100,"HighConfidence","-"
"jaffa-direct","SH2D7:CXorf64","chr15",78390938,"chrX",125954642,Inf,"887",2018,FALSE,TRUE,TRUE,"Locus_787_Transcript_12/49_Confidence_0.131_Length_1940",1051,"HighConfidence","-"
"jaffa-direct","DEDD2:TMEM235","chr19",42719285,"chr17",76235105,Inf,"767",2134,TRUE,TRUE,TRUE,"Locus_8_Transcript_21759/52526_Confidence_0.000_Length_1469",952,"HighConfidence","-"
"jaffa-direct","ANKS4B:GPD2","chr16",21245222,"chr2",157407114,Inf,"841",2049,FALSE,TRUE,TRUE,"Locus_8_Transcript_50089/52526_Confidence_0.000_Length_5031",4802,"HighConfidence","-"
"jaffa-direct","KLRC3:ASB4","chr12",10572465,"chr7",95125070,Inf,"830",2030,TRUE,TRUE,TRUE,"Locus_1323_Transcript_27/30_Confidence_0.175_Length_1552",278,"HighConfidence","-"
"jaffa-direct","PIANP:CD1B","chr12",6807211,"chr1",158298804,Inf,"1021",1792,FALSE,TRUE,TRUE,"Locus_435_Transcript_50/102_Confidence_0.024_Length_687",245,"HighConfidence","-"
"jaffa-direct","MASTL:B3GALT1","chr10",27462188,"chr2",168725321,Inf,"750",2044,FALSE,TRUE,TRUE,"Locus_345_Transcript_42/99_Confidence_0.201_Length_5164",2154,"HighConfidence","-"
"jaffa-direct","PUS1:MEAF6","chr12",132414680,"chr1",37975143,Inf,"798",1994,FALSE,TRUE,TRUE,"Locus_8_Transcript_30607/52526_Confidence_0.000_Length_2740",1922,"HighConfidence","-"
"jaffa-direct","PPFIA3:FBXO30","chr19",49644770,"chr6",146127557,Inf,"738",1979,FALSE,TRUE,TRUE,"Locus_8_Transcript_49183/52526_Confidence_0.001_Length_32978",2523,"HighConfidence","-"
"jaffa-direct","ISCA1:SLC30A1","chr9",88886922,"chr1",211749631,Inf,"742",1917,TRUE,TRUE,TRUE,"Locus_8_Transcript_33813/52526_Confidence_0.000_Length_5317",524,"HighConfidence","-"
"jaffa-direct","PCYT2:INHBC","chr17",79864636,"chr12",57843060,Inf,"760",1884,TRUE,TRUE,TRUE,"Locus_8_Transcript_2939/52526_Confidence_0.000_Length_2285",782,"HighConfidence","-"
"jaffa-direct","MAP1B:C7orf33","chr5",71479652,"chr7",148312419,Inf,"895",1726,TRUE,TRUE,TRUE,"Locus_8_Transcript_3691/52526_Confidence_0.000_Length_3425",644,"HighConfidence","-"
"jaffa-direct","PRDM7:KCNJ3","chr16",90127860,"chr2",155711239,Inf,"702",1735,FALSE,TRUE,TRUE,"Locus_8_Transcript_30366/52526_Confidence_0.001_Length_4240",496,"HighConfidence","-"
"jaffa-direct","GAS2L2:C8orf34","chr17",34074868,"chr8",69445218,Inf,"667",1747,FALSE,TRUE,TRUE,"Locus_316_Transcript_141/141_Confidence_0.041_Length_1830",846,"HighConfidence","-"
"jaffa-direct","RNF41:EEF1E1-BLOC1S5","chr12",56604081,"chr6",8097700,Inf,"715",1643,FALSE,TRUE,TRUE,"Locus_949_Transcript_82/84_Confidence_0.051_Length_1635",906,"HighConfidence","-"
"jaffa-direct","SCIMP:FAM219A","chr17",5124582,"chr9",34402465,Inf,"555",1726,TRUE,TRUE,TRUE,"Locus_8_Transcript_30511/52526_Confidence_0.000_Length_3399",336,"HighConfidence","-"
"jaffa-direct","CXorf57:RBM17","chrX",105855953,"chr10",6148104,Inf,"637",1505,FALSE,TRUE,TRUE,"Locus_74_Transcript_67/70_Confidence_0.235_Length_3758",1283,"HighConfidence","-"
"jaffa-direct","NR6A1:GYG1","chr9",127287000,"chr3",148714529,Inf,"642",1497,FALSE,TRUE,TRUE,"Locus_295_Transcript_29/38_Confidence_0.221_Length_2711",1312,"HighConfidence","-"
"jaffa-direct","RBM4:C4orf17","chr11",66407594,"chr4",100461569,Inf,"638",1499,FALSE,TRUE,TRUE,"Locus_8_Transcript_35546/52526_Confidence_0.000_Length_2309",956,"HighConfidence","-"
"jaffa-direct","ZNF3:PRKD2","chr7",99672758,"chr19",47217258,Inf,"562",1525,FALSE,TRUE,TRUE,"Locus_690_Transcript_31/78_Confidence_0.208_Length_3135",2613,"HighConfidence","-"
"jaffa-direct","ADAMTS6:ABCC4","chr5",64755997,"chr13",95822882,Inf,"585",1499,FALSE,TRUE,TRUE,"Locus_8_Transcript_31310/52526_Confidence_0.000_Length_5439",1459,"HighConfidence","-"
"jaffa-direct","MORC1:CYP11B1","chr3",108719404,"chr8",143956570,Inf,"573",1470,TRUE,TRUE,TRUE,"Locus_1493_Transcript_36/40_Confidence_0.234_Length_4639",2255,"HighConfidence","-"
"jaffa-direct","STX16:IL4R","chr20",57227143,"chr16",27351507,Inf,"655",1342,TRUE,TRUE,TRUE,"Locus_264_Transcript_225/229_Confidence_0.059_Length_4258",816,"HighConfidence","-"
"jaffa-direct","GPSM3:GRXCR1","chr6",32159486,"chr4",42964909,Inf,"563",1430,TRUE,TRUE,TRUE,"Locus_8_Transcript_26983/52526_Confidence_0.000_Length_1043",451,"HighConfidence","-"
"jaffa-direct","CXorf40A:LAMP5","chrX",148628463,"chr20",9498687,Inf,"576",1404,FALSE,TRUE,TRUE,"Locus_150_Transcript_52/77_Confidence_0.214_Length_2228",1064,"HighConfidence","-"
"jaffa-direct","TPX2:SHISA7","chr20",30358274,"chr19",55945163,Inf,"469",1314,FALSE,TRUE,TRUE,"Locus_8_Transcript_37057/52526_Confidence_0.000_Length_4015",2985,"HighConfidence","-"
"jaffa-direct","KREMEN2:ZNF281","chr16",3016796,"chr1",200378847,Inf,"431",1342,FALSE,TRUE,TRUE,"Locus_8_Transcript_33046/52526_Confidence_0.000_Length_5474",4591,"HighConfidence","-"
"jaffa-direct","MRVI1:PLEKHG2","chr11",10603414,"chr19",39908545,Inf,"420",1341,FALSE,TRUE,TRUE,"Locus_8_Transcript_41377/52526_Confidence_0.000_Length_3497",1017,"HighConfidence","-"
"jaffa-direct","PDXP:UBAP2","chr22",38055363,"chr9",33923031,Inf,"518",1239,TRUE,TRUE,TRUE,"Locus_8_Transcript_12050/52526_Confidence_0.000_Length_1678",524,"HighConfidence","-"
"jaffa-direct","LRRC31:FAN1","chr3",169579458,"chr15",31202817,Inf,"524",1222,TRUE,TRUE,TRUE,"Locus_95_Transcript_48/149_Confidence_0.065_Length_5352",5040,"HighConfidence","-"
"jaffa-direct","ZSCAN20:RAB11B","chr1",33959215,"chr19",8464747,Inf,"511",1163,TRUE,TRUE,TRUE,"Locus_8_Transcript_6651/52526_Confidence_0.000_Length_2704",1915,"HighConfidence","-"
"jaffa-direct","ANP32E:PVRIG","chr1",150195512,"chr7",99818170,Inf,"479",1148,TRUE,TRUE,TRUE,"Locus_616_Transcript_169/516_Confidence_0.025_Length_1548",713,"HighConfidence","-"
"jaffa-direct","GNG5:HTR3C","chr1",84971694,"chr3",183773100,Inf,"457",1146,TRUE,TRUE,TRUE,"Locus_204_Transcript_22/24_Confidence_0.333_Length_1896",420,"HighConfidence","-"
"jaffa-direct","IFNL2:IL6ST","chr19",39760461,"chr5",55260140,Inf,"418",1104,FALSE,TRUE,TRUE,"Locus_8_Transcript_10279/52526_Confidence_0.000_Length_8817",8258,"HighConfidence","-"
"jaffa-direct","HTR2B:AC079354.1","chr2",231978443,"chr2",202974336,29004.11,"441",1079,TRUE,TRUE,TRUE,"Locus_147_Transcript_55/113_Confidence_0.089_Length_4553",1059,"HighConfidence","-"
"jaffa-direct","CXCL5:FCER2","chr4",74864190,"chr19",7763295,Inf,"440",1079,TRUE,TRUE,TRUE,"Locus_8_Transcript_26683/52526_Confidence_0.000_Length_1386",1079,"HighConfidence","-"
