"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","CASP3:SMAP2","chr4",185553422,"chr1",40874325,Inf,"961",2364,FALSE,TRUE,TRUE,"Locus_1775_Transcript_3/16_Confidence_0.258_Length_2570",2078,"HighConfidence","-"
"jaffa-direct","PORCN:PROCR","chrX",48370323,"chr20",33764501,Inf,"982",2342,TRUE,TRUE,TRUE,"Locus_2046_Transcript_11/16_Confidence_0.330_Length_1803",1099,"HighConfidence","-"
"jaffa-direct","ADH7:ZNF623","chr4",100349649,"chr8",144732068,Inf,"929",2353,FALSE,TRUE,TRUE,"Locus_21_Transcript_1573/3285_Confidence_0.001_Length_3794",498,"HighConfidence","-"
"jaffa-direct","ZCCHC9:SERPINB10","chr5",80604857,"chr18",61584690,Inf,"918",2320,FALSE,TRUE,TRUE,"Locus_953_Transcript_13/18_Confidence_0.483_Length_3499",2421,"HighConfidence","-"
"jaffa-direct","THOC1:CCDC120","chr18",218886,"chrX",48921901,Inf,"886",2343,FALSE,TRUE,TRUE,"Locus_1399_Transcript_20/31_Confidence_0.156_Length_4621",1681,"HighConfidence","-"
"jaffa-direct","DEDD2:TMEM235","chr19",42719285,"chr17",76235105,Inf,"774",2136,TRUE,TRUE,TRUE,"Locus_1714_Transcript_9/16_Confidence_0.394_Length_1548",1031,"HighConfidence","-"
"jaffa-direct","SH2D7:CXorf64","chr15",78390938,"chrX",125954642,Inf,"887",2018,FALSE,TRUE,TRUE,"Locus_1513_Transcript_3/11_Confidence_0.344_Length_1943",1054,"HighConfidence","-"
"jaffa-direct","KLRC3:ASB4","chr12",10572465,"chr7",95125070,Inf,"830",2030,TRUE,TRUE,TRUE,"Locus_1914_Transcript_1/12_Confidence_0.152_Length_1551",278,"HighConfidence","-"
"jaffa-direct","PIANP:CD1B","chr12",6807211,"chr1",158298804,Inf,"1029",1816,FALSE,TRUE,TRUE,"Locus_2140_Transcript_5/5_Confidence_0.091_Length_688",443,"HighConfidence","-"
"jaffa-direct","MAP1B:C7orf33","chr5",71479652,"chr7",148312419,Inf,"933",1859,TRUE,TRUE,TRUE,"Locus_4807_Transcript_4/37_Confidence_0.120_Length_3396",644,"HighConfidence","-"
"jaffa-direct","PUS1:MEAF6","chr12",132414680,"chr1",37975143,Inf,"799",1986,FALSE,TRUE,TRUE,"Locus_722_Transcript_30/32_Confidence_0.122_Length_2768",818,"HighConfidence","-"
"jaffa-direct","ZSCAN20:RAB11B","chr1",33959215,"chr19",8464747,Inf,"756",2016,TRUE,TRUE,TRUE,"Locus_440_Transcript_13/63_Confidence_0.161_Length_2690",774,"HighConfidence","-"
"jaffa-direct","MASTL:B3GALT1","chr10",27462188,"chr2",168725321,Inf,"730",2004,FALSE,TRUE,TRUE,"Locus_1646_Transcript_31/32_Confidence_0.329_Length_5103",3010,"HighConfidence","-"
"jaffa-direct","ADAMTS6:ABCC4","chr5",64755997,"chr13",95822882,Inf,"785",1874,FALSE,TRUE,TRUE,"Locus_1623_Transcript_17/23_Confidence_0.159_Length_5440",3981,"HighConfidence","-"
"jaffa-direct","ISCA1:SLC30A1","chr9",88886922,"chr1",211749631,Inf,"742",1916,TRUE,TRUE,TRUE,"Locus_1734_Transcript_9/17_Confidence_0.269_Length_3759",524,"HighConfidence","-"
"jaffa-direct","PRDM7:KCNJ3","chr16",90127860,"chr2",155711239,Inf,"724",1915,FALSE,TRUE,TRUE,"Locus_21_Transcript_993/3285_Confidence_0.003_Length_4243",3747,"HighConfidence","-"
