"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","PLCB2:ANKRD61","chr15",40594158,"chr7",6075075,Inf,"622",2316,FALSE,TRUE,TRUE,"Locus_1_Transcript_12092/64825_Confidence_0.000_Length_1681",1002,"HighConfidence","-"
"jaffa-direct","DNAJC25:TMEM74B","chr9",114409539,"chr20",1162231,Inf,"693",2240,FALSE,TRUE,TRUE,"Locus_1_Transcript_58341/64825_Confidence_0.000_Length_969",541,"HighConfidence","-"
"jaffa-direct","YLPM1:E2F7","chr14",75249028,"chr12",77444524,Inf,"506",2178,FALSE,TRUE,TRUE,"Locus_1_Transcript_18784/64825_Confidence_0.000_Length_7090",4751,"HighConfidence","-"
"jaffa-direct","CPNE2:RNF165","chr16",57159905,"chr18",44030667,Inf,"540",2024,FALSE,TRUE,TRUE,"Locus_1_Transcript_36855/64825_Confidence_0.000_Length_5383",1339,"HighConfidence","-"
"jaffa-direct","FDX1:ELAVL1","chr11",110301029,"chr19",8046070,Inf,"554",1997,FALSE,TRUE,TRUE,"Locus_243_Transcript_49/70_Confidence_0.122_Length_3342",397,"HighConfidence","-"
"jaffa-direct","EEA1:KRT24","chr12",93285405,"chr17",38856635,Inf,"542",2002,TRUE,TRUE,TRUE,"Locus_1_Transcript_22286/64825_Confidence_0.000_Length_1197",833,"HighConfidence","-"
"jaffa-direct","ACSBG2:PROSC","chr19",6141621,"chr8",37623044,Inf,"560",1831,FALSE,TRUE,TRUE,"Locus_1_Transcript_21710/64825_Confidence_0.000_Length_2731",2469,"HighConfidence","-"
"jaffa-direct","SCRT1:STAG1","chr8",145559717,"chr3",136162246,Inf,"393",1989,FALSE,TRUE,TRUE,"Locus_1_Transcript_10745/64825_Confidence_0.000_Length_4622",227,"HighConfidence","-"
"jaffa-direct","ATXN7L1:RP11-574K11.31","chr7",105258239,"chr10",75563774,Inf,"447",1791,FALSE,TRUE,TRUE,"Locus_267_Transcript_38/102_Confidence_0.077_Length_1860",744,"HighConfidence","-"
"jaffa-direct","A1CF:ORAI1","chr10",52595834,"chr12",122078947,Inf,"470",1754,FALSE,TRUE,TRUE,"Locus_1_Transcript_32326/64825_Confidence_0.000_Length_2169",459,"HighConfidence","-"
